"Package" "Version"
"207" "assertthat" "0.2.1"
"208" "AUC" "0.3.0"
"209" "backports" "1.1.5"
"210" "base" "3.5.1"
"211" "base64" "2.0"
"212" "base64enc" "0.1-3"
"213" "basefun" "1.0-7"
"214" "BB" "2019.10-1"
"215" "bbmle" "1.0.23.1"
"216" "bdsmatrix" "1.3-4"
"217" "betareg" "3.1-3"
"218" "BH" "1.72.0-3"
"219" "BiasedUrn" "1.07"
"220" "bibtex" "0.4.2.2"
"221" "bife" "0.7"
"222" "BIFIEsurvey" "3.3-12"
"223" "biglm" "0.9-1"
"224" "binda" "1.0.3"
"225" "bindr" "0.1.1"
"226" "bindrcpp" "0.2.2"
"227" "Biobase" "2.40.0"
"228" "BiocGenerics" "0.26.0"
"229" "BiocInstaller" "1.30.0"
"230" "BiocManager" "1.30.10"
"231" "BiocParallel" "1.14.2"
"232" "BiocStyle" "2.8.2"
"233" "Biostrings" "2.48.0"
"234" "bit" "1.1-15.2"
"235" "bit64" "0.9-7"
"236" "bitops" "1.0-6"
"237" "bladderbatch" "1.18.0"
"238" "blme" "1.0-4"
"239" "blob" "1.2.1"
"240" "bookdown" "0.17"
"241" "boot" "1.3-24"
"242" "bootstrap" "2019.6"
"243" "BradleyTerry2" "1.1-2"
"244" "brew" "1.0-6"
"245" "brglm" "0.6.2"
"246" "BSDA" "1.2.0"
"247" "bst" "0.3-17"
"248" "ca" "0.71.1"
"249" "Cairo" "1.5-10"
"250" "CALIBERrfimpute" "1.0-1"
"251" "callr" "3.4.2"
"252" "candisc" "0.8-0"
"253" "car" "3.0-6"
"254" "carData" "3.0-3"
"255" "care" "1.1.10"
"256" "catdata" "1.2.2"
"257" "caTools" "1.17.1.2"
"258" "cba" "0.2-21"
"259" "cccd" "1.5"
"260" "CDM" "7.4-19"
"261" "CDVine" "1.4"
"262" "cellranger" "1.1.0"
"263" "checkmate" "1.9.1"
"264" "chemometrics" "1.4.2"
"265" "chron" "2.3-55"
"266" "class" "7.3-15"
"267" "classInt" "0.4-2"
"268" "cli" "2.0.2"
"269" "cliapp" "0.1.0"
"270" "clipr" "0.7.0"
"271" "clisymbols" "1.2.0"
"272" "clubSandwich" "0.4.1"
"273" "clue" "0.3-57"
"274" "cluster" "2.1.0"
"275" "clValid" "0.6-6"
"276" "cmaes" "1.0-11"
"277" "cmprsk" "2.2-9"
"278" "cobs" "1.3-4"
"279" "coda" "0.19-3"
"280" "codetools" "0.2-16"
"281" "colorspace" "1.4-0"
"282" "colourpicker" "1.0"
"283" "combinat" "0.0-8"
"284" "commonmark" "1.7"
"285" "compiler" "3.5.1"
"286" "CompQuadForm" "1.4.3"
"287" "conf.design" "2.0.0"
"288" "coRanking" "0.2.1"
"289" "corpcor" "1.6.9"
"290" "corrplot" "0.84"
"291" "cowplot" "1.0.0"
"292" "CoxBoost" "1.4"
"293" "coxinterval" "1.2"
"294" "coxme" "2.2-16"
"295" "crayon" "1.3.4"
"296" "crop" "0.0-2"
"297" "crosstalk" "1.0.0"
"298" "crossval" "1.0.3"
"299" "crrstep" "2015-2.1"
"300" "cshapes" "0.6"
"301" "cubature" "2.0.4"
"302" "Cubist" "0.2.3"
"303" "curl" "4.3"
"304" "CVST" "0.2-2"
"305" "d3heatmap" "0.6.1.2"
"306" "DAAG" "1.22.1"
"307" "dada2" "1.8.0"
"308" "data.table" "1.12.0"
"309" "data.tree" "0.7.11"
"310" "datasets" "3.5.1"
"311" "date" "1.2-39"
"312" "DBI" "1.1.0"
"313" "DBItest" "1.7.0"
"314" "dbplyr" "1.4.2"
"315" "debugme" "1.1.0"
"316" "deepnet" "0.2"
"317" "DelayedArray" "0.6.6"
"318" "deldir" "0.1-25"
"319" "dendextend" "1.13.4"
"320" "denstrip" "1.5.4"
"321" "DEoptimR" "1.0-8"
"322" "Deriv" "4.0"
"323" "desc" "1.2.0"
"324" "descr" "1.1.4"
"325" "DESeq" "1.32.0"
"326" "deSolve" "1.27.1"
"327" "devEMF" "3.7"
"328" "Devore7" "0.7.6"
"329" "dfoptim" "2018.2-1"
"330" "DiceKriging" "1.5.6"
"331" "dichromat" "2.0-0"
"332" "diffobj" "0.2.3"
"333" "diffusionMap" "1.2.0"
"334" "digest" "0.6.25"
"335" "dimRed" "0.2.3"
"336" "diptest" "0.75-7"
"337" "directlabels" "2020.1.31"
"338" "DiscriMiner" "0.1-29"
"339" "dismo" "1.1-4"
"340" "disposables" "1.0.3"
"341" "DistributionUtils" "0.6-0"
"342" "doMC" "1.3.6"
"343" "doParallel" "1.0.15"
"344" "dotCall64" "1.0-0"
"345" "downloader" "0.4"
"346" "dplyr" "0.8.0.1"
"347" "DPpackage" "1.1-7.4"
"348" "DRR" "0.0.4"
"349" "DT" "0.12"
"350" "dtplyr" "0.0.3"
"351" "dtw" "1.21-3"
"352" "dygraphs" "1.1.1.6"
"353" "dynamicTreeCut" "1.63-1"
"354" "DynDoc" "1.58.0"
"355" "dynlm" "0.3-6"
"356" "e1071" "1.7-0.1"
"357" "earth" "5.1.2"
"358" "edgeR" "3.22.5"
"359" "effects" "4.1-4"
"360" "eha" "2.8.0"
"361" "eiPack" "0.2-1"
"362" "elasticnet" "1.1.1"
"363" "ElemStatLearn" "2015.6.26.2"
"364" "ellipse" "0.4.1"
"365" "ellipsis" "0.3.0"
"366" "emdbook" "1.3.12"
"367" "emmeans" "1.4.5"
"368" "EMMIXskew" "1.0.3"
"369" "emoa" "0.5-0"
"370" "energy" "1.7-7"
"371" "entropy" "1.2.1"
"372" "estimability" "1.3"
"373" "evaluate" "0.14"
"374" "evd" "2.3-3"
"375" "evdbayes" "1.1-1"
"376" "expint" "0.1-6"
"377" "expm" "0.999-4"
"378" "extraDistr" "1.8.11"
"379" "extraTrees" "1.0.5"
"380" "FactoMineR" "1.42"
"381" "Fahrmeir" "2016.5.31"
"382" "fansi" "0.4.1"
"383" "faraway" "1.0.7"
"384" "fastglm" "0.0.1"
"385" "fastICA" "1.2-2"
"386" "fastmatch" "1.1-0"
"387" "fBasics" "3042.89"
"388" "fda" "2.4.8.1"
"389" "fda.usc" "2.0.2"
"390" "feather" "0.3.5"
"391" "ff" "2.2-14"
"392" "ffbase" "0.12.7"
"393" "fGarch" "3042.83.1"
"394" "fields" "10.3"
"395" "filehash" "2.4-2"
"396" "fit.models" "0.5-14"
"397" "fitdistrplus" "1.0-14"
"398" "flare" "1.6.0.2"
"399" "flashClust" "1.01-2"
"400" "flexdashboard" "0.5.1.1"
"401" "flexmix" "2.3-15"
"402" "FMStable" "0.1-2"
"403" "FNN" "1.1.3"
"404" "fontBitstreamVera" "0.1.1"
"405" "fontcm" "1.1"
"406" "fontLiberation" "0.1.0"
"407" "fontquiver" "0.2.1"
"408" "forcats" "0.5.0"
"409" "foreach" "1.4.8"
"410" "foreign" "0.8-76"
"411" "formatR" "1.7"
"412" "formattable" "0.2.0.1"
"413" "Formula" "1.2-3"
"414" "fortunes" "1.5-4"
"415" "fpc" "2.2-5"
"416" "frbs" "3.2-0"
"417" "freetypeharfbuzz" "0.2.5"
"418" "fs" "1.3.1"
"419" "FSelectorRcpp" "0.3.3"
"420" "fTrading" "3042.79"
"421" "fts" "0.9.9.2"
"422" "futile.logger" "1.4.3"
"423" "futile.options" "1.0.1"
"424" "GA" "3.2"
"425" "gam" "1.16.1"
"426" "gamair" "1.0-2"
"427" "GAMBoost" "1.2-3"
"428" "gamlss" "5.1-6"
"429" "gamlss.data" "5.1-4"
"430" "gamlss.dist" "5.1-6"
"431" "gamm4" "0.2-5"
"432" "gapminder" "0.3.0"
"433" "gbm" "2.1.5"
"434" "gclus" "1.3.2"
"435" "gcookbook" "2.0"
"436" "gdata" "2.18.0"
"437" "gee" "4.13-20"
"438" "genefilter" "1.62.0"
"439" "geneplotter" "1.58.0"
"440" "GeneralizedHyperbolic" "0.8-4"
"441" "generics" "0.0.2"
"442" "GenomeInfoDb" "1.16.0"
"443" "GenomeInfoDbData" "1.1.0"
"444" "GenomicAlignments" "1.16.0"
"445" "GenomicRanges" "1.32.7"
"446" "GenSA" "1.1.7"
"447" "geosphere" "1.5-10"
"448" "getPass" "0.2-2"
"449" "GGally" "1.4.0"
"450" "ggplot2" "3.2.1"
"451" "ggplot2movies" "0.0.1"
"452" "ggrepel" "0.8.1"
"453" "ggthemes" "4.2.0"
"454" "git2r" "0.26.1"
"455" "glm2" "1.2.1"
"456" "glmmML" "1.1.0"
"457" "glmmsr" "0.2.3"
"458" "glmmTMB" "1.0.0"
"459" "glmnet" "2.0-18"
"460" "glmnetUtils" "1.1.4"
"461" "GlobalAncova" "3.48.0"
"462" "globaltest" "5.34.1"
"463" "glue" "1.3.1"
"464" "gmm" "1.6-4"
"465" "gmodels" "2.18.1"
"466" "gnm" "1.1-1"
"467" "GO.db" "3.6.0"
"468" "gof" "1.0.0"
"469" "golubEsets" "1.22.0"
"470" "googleVis" "0.6.4"
"471" "gower" "0.2.1"
"472" "GPArotation" "2014.11-1"
"473" "gpclib" "1.5-6"
"474" "GPfit" "1.0-8"
"475" "gplots" "3.0.3"
"476" "graph" "1.58.2"
"477" "graphics" "3.5.1"
"478" "grDevices" "3.5.1"
"479" "grid" "3.5.1"
"480" "gridBase" "0.4-7"
"481" "gridExtra" "2.3"
"482" "gridGraphics" "0.5-0"
"483" "grouped" "0.6-0"
"484" "GSEABase" "1.42.0"
"485" "gss" "2.1-12"
"486" "gtable" "0.3.0"
"487" "gtools" "3.8.1"
"488" "h2o" "3.28.0.4"
"489" "haven" "2.2.0"
"490" "heplots" "1.3-5"
"491" "here" "0.1"
"492" "hexbin" "1.28.1"
"493" "hgu133plus2.db" "3.2.3"
"494" "hgu95av2.db" "3.2.3"
"495" "highr" "0.8"
"496" "Hmisc" "4.2-0"
"497" "hms" "0.5.3"
"498" "hoa" "2.1.4.1"
"499" "HSAUR" "1.3-9"
"500" "HSAUR2" "1.1-17"
"501" "HSAUR3" "1.0-9"
"502" "htmlTable" "1.13.3"
"503" "htmltools" "0.4.0"
"504" "htmlwidgets" "1.5.1"
"505" "httpuv" "1.5.2"
"506" "hu6800.db" "3.2.3"
"507" "huge" "1.3.4"
"508" "hunspell" "3.0"
"509" "huxtable" "4.7.1"
"510" "hwriter" "1.3.2"
"511" "ibdreg" "0.2.5"
"512" "ICE" "0.69"
"513" "igraph" "1.2.4.2"
"514" "igraphdata" "1.0.1"
"515" "illuminaio" "0.22.0"
"516" "import" "1.1.0"
"517" "impute" "1.54.0"
"518" "ineq" "0.2-13"
"519" "influenceR" "0.1.0"
"520" "ini" "0.3.1"
"521" "inline" "0.3.15"
"522" "inlinedocs" "2019.12.5"
"523" "interp" "1.0-33"
"524" "ipred" "0.9-9"
"525" "irace" "3.3"
"526" "IRanges" "2.14.12"
"527" "IRdisplay" "0.7.0"
"528" "irlba" "2.3.3"
"529" "irr" "0.84.1"
"530" "isa2" "0.3.5"
"531" "ismev" "1.42"
"532" "ISOcodes" "2019.12.22"
"533" "ISwR" "2.0-8"
"534" "iterators" "1.0.12"
"535" "itertools" "0.1-3"
"536" "janeaustenr" "0.1.5"
"537" "JM" "1.4-8"
"538" "joineR" "1.2.4"
"539" "jomo" "2.6-10"
"540" "jpeg" "0.1-8.1"
"541" "jsonlite" "1.6.1"
"542" "JuliaCall" "0.17.1"
"543" "kableExtra" "1.1.0"
"544" "KEGG.db" "3.2.3"
"545" "KEGGgraph" "1.40.0"
"546" "Kendall" "2.2"
"547" "KernelKnn" "1.1.0"
"548" "kernlab" "0.9-29"
"549" "KernSmooth" "2.23-16"
"550" "kinship2" "1.8.5"
"551" "kknn" "1.3.1"
"552" "klaR" "0.6-15"
"553" "knitr" "1.28"
"554" "kohonen" "3.0.10"
"555" "koRpus" "0.11-5"
"556" "ks" "1.11.7"
"557" "labeling" "0.3"
"558" "LaF" "0.8.0"
"559" "Lahman" "7.0-1"
"560" "lambda.r" "1.2.4"
"561" "LaplacesDemon" "16.1.4"
"562" "lars" "1.2"
"563" "lasso2" "1.2-20"
"564" "later" "1.0.0"
"565" "lattice" "0.20-40"
"566" "latticeExtra" "0.6-28"
"567" "lava" "1.6.6"
"568" "lavaan" "0.6-5"
"569" "lavaan.survey" "1.1.3.1"
"570" "lazyeval" "0.2.2"
"571" "lbfgs" "1.2.1"
"572" "lbfgsb3" "2015-2.13.1"
"573" "lbfgsb3c" "2020-3.2"
"574" "lda" "1.4.2"
"575" "LDAvis" "0.3.2"
"576" "leaps" "3.1"
"577" "LearnBayes" "2.15.1"
"578" "lfe" "2.8-5"
"579" "lhs" "1.0.1"
"580" "LiblineaR" "2.10-8"
"581" "likert" "1.3.5"
"582" "limma" "3.36.5"
"583" "listenv" "0.8.0"
"584" "lle" "1.1"
"585" "lme4" "1.1-21"
"586" "lmerTest" "3.1-1"
"587" "lmodel2" "1.7-3"
"588" "lmtest" "0.9-37"
"589" "locfit" "1.5-9.1"
"590" "loe" "1.1"
"591" "logcondens" "2.1.5"
"592" "LogicReg" "1.6.2"
"593" "logspline" "2.1.15"
"594" "lokern" "1.1-8"
"595" "longmemo" "1.1-2"
"596" "loo" "2.2.0"
"597" "lpSolve" "5.6.15"
"598" "lsa" "0.73.1"
"599" "LSAmitR" "1.0-2"
"600" "lsei" "1.2-0"
"601" "lsmeans" "2.30-0"
"602" "lubridate" "1.7.4"
"603" "lungExpression" "0.18.0"
"604" "magic" "1.5-9"
"605" "magrittr" "1.5"
"606" "mail" "1.0"
"607" "mallet" "1.0"
"608" "manipulate" "1.0.1"
"609" "mapdata" "2.3.0"
"610" "mapproj" "1.2.7"
"611" "maps" "3.3.0"
"612" "maptools" "0.9-9"
"613" "markdown" "1.1"
"614" "MASS" "7.3-51.5"
"615" "Matrix" "1.2-18"
"616" "MatrixModels" "0.4-1"
"617" "matrixStats" "0.55.0"
"618" "maxLik" "1.3-8"
"619" "maxlike" "0.1-8"
"620" "mc2d" "0.1-18"
"621" "mclust" "5.4.5"
"622" "mco" "1.0-15.1"
"623" "mda" "0.4-10"
"624" "mdhglm" "1.8"
"625" "mdmb" "1.3-18"
"626" "measurements" "1.4.0"
"627" "mediation" "4.4.7"
"628" "memoise" "1.1.0"
"629" "MEMSS" "0.9-3"
"630" "metafor" "2.1-0"
"631" "methods" "3.5.1"
"632" "Metrics" "0.1.4"
"633" "mets" "1.2.7.1"
"634" "mfx" "1.2-2"
"635" "mgcv" "1.8-31"
"636" "microbenchmark" "1.4-7"
"637" "MIICD" "2.4"
"638" "mime" "0.9"
"639" "miniUI" "0.1.1.1"
"640" "minqa" "1.2.4"
"641" "misc3d" "0.8-4"
"642" "miscTools" "0.6-26"
"643" "missForest" "1.4"
"644" "mitml" "0.3-7"
"645" "mitools" "2.4"
"646" "mix" "1.0-10"
"647" "mlbench" "2.1-1"
"648" "mldr.datasets" "0.4.2"
"649" "MLmetrics" "1.1.1"
"650" "mlmRev" "1.0-7"
"651" "mmpf" "0.0.5"
"652" "mnormt" "1.5-6"
"653" "mockery" "0.4.2"
"654" "mockr" "0.1"
"655" "modeldata" "0.0.1"
"656" "ModelMetrics" "1.2.2.1"
"657" "modeltools" "0.2-22"
"658" "mondate" "0.10.01.02"
"659" "MPV" "1.55"
"660" "mRMRe" "2.1.0"
"661" "msm" "1.6.8"
"662" "mstate" "0.2.12"
"663" "muhaz" "1.2.6.1"
"664" "multcomp" "1.4-12"
"665" "multcompView" "0.1-8"
"666" "multicool" "0.1-11"
"667" "multiwayvcov" "1.2.3"
"668" "multtest" "2.36.0"
"669" "MuMIn" "1.43.15"
"670" "munsell" "0.5.0"
"671" "mvinfluence" "0.8-3"
"672" "mvnormtest" "0.1-9"
"673" "mvtnorm" "1.1-0"
"674" "neighbr" "1.0.2"
"675" "netrankr" "0.2.1"
"676" "NetSwan" "0.1"
"677" "network" "1.16.0"
"678" "networkD3" "0.4"
"679" "networkDynamic" "0.10.1"
"680" "neuralnet" "1.44.2"
"681" "NeuralNetTools" "1.5.2"
"682" "NHANES" "2.1.0"
"683" "NISTunits" "1.0.1"
"684" "nlme" "3.1-144"
"685" "nloptr" "1.2.2"
"686" "NLP" "0.2-0"
"687" "nnet" "7.3-13"
"688" "nodeHarvest" "0.7-3"
"689" "nor1mix" "1.3-0"
"690" "nortest" "1.0-4"
"691" "np" "0.60-10"
"692" "npsurv" "0.4-0"
"693" "numDeriv" "2016.8-1.1"
"694" "nycflights13" "1.0.1"
"695" "OAIHarvester" "0.3-0"
"696" "officer" "0.3.7"
"697" "openxlsx" "4.1.4"
"698" "optimx" "2020-2.2"
"699" "orcutt" "2.3"
"700" "ordinal" "2019.12-10"
"701" "ordinalCont" "2.0.1"
"702" "org.Hs.eg.db" "3.6.0"
"703" "orientlib" "0.10.3"
"704" "orthopolynom" "1.0-5"
"705" "oz" "1.0-21"
"706" "pamr" "1.56.1"
"707" "pan" "1.6"
"708" "pander" "0.6.3"
"709" "parallel" "3.5.1"
"710" "pasilla" "1.8.0"
"711" "PASWR" "1.1"
"712" "patchwork" "1.0.0"
"713" "pbapply" "1.4-2"
"714" "pbdZMQ" "0.3-3"
"715" "pbivnorm" "0.6.0"
"716" "pbkrtest" "0.4-7"
"717" "pbmcapply" "1.5.0"
"718" "PBSmapping" "2.72.1"
"719" "pbv" "0.3-19"
"720" "pcaMethods" "1.72.0"
"721" "pcaPP" "1.9-73"
"722" "PCICt" "0.5-4.1"
"723" "pcse" "1.9.1.1"
"724" "pder" "1.0-1"
"725" "pdp" "0.7.0"
"726" "penalized" "0.9-51"
"727" "PerformanceAnalytics" "2.0.4"
"728" "pheatmap" "1.0.12"
"729" "pillar" "1.4.3"
"730" "pingr" "2.0.0"
"731" "pinp" "0.0.9"
"732" "pkgbuild" "1.0.6"
"733" "pkgconfig" "2.0.3"
"734" "pkgKitten" "0.1.5"
"735" "pkgload" "1.0.2"
"736" "PKI" "0.1-5.1"
"737" "PKPDmodels" "0.3.2"
"738" "plogr" "0.2.0"
"739" "plotlyGeoAssets" "0.0.2"
"740" "plotmo" "3.5.6"
"741" "plotrix" "3.7-7"
"742" "pls" "2.7-2"
"743" "plumber" "0.4.6"
"744" "plyr" "1.8.6"
"745" "PMCMR" "4.3"
"746" "pmml" "2.2.0"
"747" "pmmlTransformations" "1.3.3"
"748" "png" "0.1-7"
"749" "poLCA" "1.4.1"
"750" "polspline" "1.1.17"
"751" "polyclip" "1.10-0"
"752" "polycor" "0.7-10"
"753" "polynom" "1.4-0"
"754" "pool" "0.1.4.3"
"755" "prabclus" "2.3-2"
"756" "praise" "1.0.0"
"757" "praznik" "8.0.0"
"758" "prefmod" "0.8-34"
"759" "preprocessCore" "1.42.0"
"760" "prettycode" "1.1.0"
"761" "prettydoc" "0.3.1"
"762" "prettyR" "2.2-3"
"763" "prettyunits" "1.1.1"
"764" "prim" "1.0.16"
"765" "pROC" "1.16.1"
"766" "processx" "3.4.2"
"767" "prodlim" "2019.11.13"
"768" "profdpm" "3.3"
"769" "profileModel" "0.6.0"
"770" "profvis" "0.3.6"
"771" "progress" "1.2.2"
"772" "progressr" "0.4.0"
"773" "promises" "1.1.0"
"774" "proxy" "0.4-23"
"775" "pryr" "0.1.4"
"776" "ps" "1.3.2"
"777" "pscl" "1.5.2"
"778" "pso" "1.0.3"
"779" "psych" "1.9.12.31"
"780" "psychotools" "0.5-1"
"781" "psychTools" "1.9.12"
"782" "purrr" "0.3.1"
"783" "purrrlyr" "0.0.5"
"784" "pvclust" "2.2-0"
"785" "pwr" "1.2-2"
"786" "quadprog" "1.5-8"
"787" "quantreg" "5.54"
"788" "questionr" "0.7.0"
"789" "qvalue" "2.12.0"
"790" "qvcalc" "1.0.2"
"791" "R.devices" "2.16.1"
"792" "R.matlab" "3.6.2"
"793" "R.methodsS3" "1.8.0"
"794" "R.oo" "1.23.0"
"795" "R.utils" "2.9.2"
"796" "R2HTML" "2.3.2"
"797" "R2OpenBUGS" "3.2-3.2"
"798" "R2WinBUGS" "2.1-21"
"799" "R6" "2.4.1"
"800" "RandomFields" "3.3.8"
"801" "RandomFieldsUtils" "0.5.3"
"802" "randomForest" "4.6-14"
"803" "randomForestSRC" "2.9.3"
"804" "ranger" "0.12.1"
"805" "RankAggreg" "0.6.5"
"806" "RANN" "2.6.1"
"807" "rappdirs" "0.3.1"
"808" "raster" "3.0-12"
"809" "rasterVis" "0.47"
"810" "rbenchmark" "1.0.0"
"811" "RBGL" "1.56.0"
"812" "rcartocolor" "2.0.0"
"813" "rcmdcheck" "1.3.3"
"814" "RColorBrewer" "1.1-2"
"815" "Rcpp" "1.0.3"
"816" "RcppArmadillo" "0.9.850.1.0"
"817" "RcppEigen" "0.3.3.7.0"
