,species,status
261,MUS,CLEANUP
262,MUT,CLEANUP
263,NAP,CLEANUP
264,NAS,CLEANUP
265,NBI,CLEANUP
266,NCL,CLEANUP
267,NE,CLEANUP
268,NG,MISMATCH
269,NH,CLEANUP
270,NIL,CLEANUP
271,NIP,CLEANUP
272,NM,CLEANUP
273,NMO,CLEANUP
274,NPI,CLEANUP
275,NSL,NOT COMPLETE
276,NSR,NOT COMPLETE
277,NY,CLEANUP
278,OCP,CLEANUP
279,OG,CLEANUP
280,OHH,CLEANUP
281,OS,MISMATCH
282,OSO,MISMATCH
283,OU,CLEANUP
284,OWL,CLEANUP
285,OWP,CLEANUP
286,PA,CLEANUP
287,PAG,CLEANUP
288,PAO,CLEANUP
289,PBP,CLEANUP
290,PC,CLEANUP
291,PCA,CLEANUP
292,PCO,CLEANUP
293,PD,CLEANUP
294,PDO,CLEANUP
295,PEC,CLEANUP
296,PF,CLEANUP
297,PGR,CLEANUP
298,PI,CLEANUP
299,PIG,CLEANUP
300,PIP,MISMATCH
301,PK,NOT COMPLETE
302,PLF,CLEANUP
303,PLJ,CLEANUP
304,PO,CLEANUP
305,POL,CLEANUP
306,PP,CLEANUP
307,PR,CLEANUP
308,PRA,CLEANUP
309,PRF,CLEANUP
310,PS,CLEANUP
311,PSU,CLEANUP
312,PT,CLEANUP
313,PTO,CLEANUP
314,PW,CLEANUP
315,PY,MISMATCH
316,RA,CLEANUP
317,RAB,CLEANUP
318,RAD,CLEANUP
319,RAT,CLEANUP
320,RAY,CLEANUP
321,RBF,MISMATCH
322,RBU,MISMATCH
323,RC,MISMATCH
324,RD,CLEANUP
325,RED,CLEANUP
326,RES,NOT COMPLETE
327,RET,CLEANUP
328,RH,CLEANUP
329,RHI,CLEANUP
330,RI,CLEANUP
331,RIN,CLEANUP
332,RKI,CLEANUP
333,RL,CLEANUP
334,RLF,CLEANUP
335,RNP,CLEANUP
336,ROA,CLEANUP
337,ROD,CLEANUP
338,ROF,CLEANUP
339,RP,CLEANUP
340,RRH,CLEANUP
341,RS,CLEANUP
342,RSH,MISMATCH
343,RSQ,CLEANUP
344,RT,CLEANUP
345,RUF,MISMATCH
346,RUL,CLEANUP
347,RYB,CLEANUP
348,SAA,CLEANUP
349,SAB,CLEANUP
350,SAD,CLEANUP
351,SAF,CLEANUP
352,SBE,CLEANUP
353,SBT,CLEANUP
354,SC,MISMATCH
355,SCU,CLEANUP
356,SDF,CLEANUP
357,SE,CLEANUP
358,SEM,CLEANUP
359,SER,CLEANUP
360,SEV,NOT COMPLETE
361,SF,CLEANUP
362,SG,CLEANUP
363,SGO,CLEANUP
364,SI,CLEANUP
365,SID,CLEANUP
366,SIL,CLEANUP
367,SIS,CLEANUP
368,SIT,CLEANUP
369,SKI,CLEANUP
370,SL,CLEANUP
371,SLT,CLEANUP
372,SM,CLEANUP
373,SME,CLEANUP
374,SMO,CLEANUP
375,SNB,CLEANUP
376,SOS,CLEANUP
377,SPB,CLEANUP
378,SPM,CLEANUP
379,SQF,MISMATCH
380,SQM,CLEANUP
381,SR,CLEANUP
382,SRB,CLEANUP
383,SRP,MISMATCH
384,SSC,CLEANUP
385,SSL,CLEANUP
386,SSN,CLEANUP
387,SSR,CLEANUP
388,ST,CLEANUP
389,STB,CLEANUP
390,STL,CLEANUP
391,STO,CLEANUP
392,STR,CLEANUP
393,STS,CLEANUP
394,STT,MISMATCH
395,SU,MISMATCH
396,SV,CLEANUP
397,SWC,CLEANUP
398,SWF,CLEANUP
399,TAH,MISMATCH
400,TAM,CLEANUP
401,TAO,CLEANUP
402,TBF,CLEANUP
403,TEN,CLEANUP
404,TH,CLEANUP
405,TIB,CLEANUP
406,TM,CLEANUP
407,TMB,CLEANUP
408,TRS,CLEANUP
409,TS,CLEANUP
410,TSH,MISMATCH
411,TUP,CLEANUP
412,TUR,CLEANUP
413,TUT,CLEANUP
414,TW,CLEANUP
415,UO,CLEANUP
416,UR,CLEANUP
417,VC,CLEANUP
418,VG,CLEANUP
419,VI,CLEANUP
420,VIS,CLEANUP
421,VW,CLEANUP
422,WA,MISMATCH
423,WB,CLEANUP
424,WBU,CLEANUP
425,WBW,CLEANUP
426,WC,CLEANUP
427,WCA,CLEANUP
428,WE,CLEANUP
429,WEA,CLEANUP
430,WEC,CLEANUP
431,WFA,CLEANUP
432,WFB,CLEANUP
433,WFS,CLEANUP
434,WG,MISMATCH
435,WHE,CLEANUP
436,WHH,CLEANUP
437,WHS,CLEANUP
438,WI,CLEANUP
439,WIS,CLEANUP
440,WM,CLEANUP
441,WMH,CLEANUP
442,WRS,CLEANUP
443,WS,CLEANUP
444,WSD,CLEANUP
445,WWD,MISMATCH
446,XEN,CLEANUP
447,YAN,CLEANUP
448,YBH,CLEANUP
449,YC,CLEANUP
450,YFS,CLEANUP
451,YFT,CLEANUP
452,YNM,CLEANUP
453,YS,CLEANUP
454,YSP,CLEANUP
455,ZE,CLEANUP
456,FD,NOT COMPLETE
457,BT,NOT COMPLETE
458,LSK,NOT COMPLETE
459,ATK,NOT COMPLETE
460,BRF,NOT COMPLETE
461,SFP,NOT COMPLETE
462,OBW,NOT COMPLETE
463,RO,NOT COMPLETE
464,UG,NOT COMPLETE
465,SRM,NOT COMPLETE
466,COQ,NOT COMPLETE
467,CHK,NOT COMPLETE
468,HHO,NOT COMPLETE
469,GLT,NOT COMPLETE
470,YM,NOT COMPLETE
471,LTR,NOT COMPLETE
472,WAB,NOT COMPLETE
473,BMT,NOT COMPLETE
474,RCB,NOT COMPLETE
475,PHL,NOT COMPLETE
476,BWP,NOT COMPLETE
477,ET,NOT COMPLETE
478,GCF,NOT COMPLETE
479,SEA,NOT COMPLETE
