V1	Fortlaufende Nr	Patho-Nr	English	Tierart	scientific_name	sex	age	Entnahme	Tissue	Well_y	Well_x	Abbreviation	DNA (ng/µl)	Volume (µl)	DNA prep date	comment	Box	RRBS-status	Experiment ID	pre-BC_CT	Enrichment cycles	Pool	Adapter	FlowCell	lane	renamed	Experiment_new lib prep	pre-BC CT_uc	Adapter_uc	unconverted	renamed_uc	Experiment_unconverted	enrichtment_uc	Flowcell_uc	lane_uc
11	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Kidney		NA	PK_2_K	45,2	100	02.02.2016		1	prepped	AK14	11,32	13	7	TruSeq LT Index 27	218	7	PK_2_K__r1							NA	NA	NA
12	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Spleen		NA	PK_2_S	240,0	200	02.02.2016		1	prepped	AK10	13,70	16	2	TruSeq LT Index 12	204	4								NA	NA	NA
13	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Duodenum		NA	PK_2_D	12,2	100	02.02.2016		1	prepped	AK10	12,09	13	1	TruSeq LT Index 13	204	1								NA	NA	NA
14	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Lung		NA	PK_2_LU	16,9	100	02.02.2016		1	prepped	AK10	13,30	16	2	TruSeq LT Index 14	204	4								NA	NA	NA
15	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Brain		NA	PK_2_B	21,6	100	02.02.2016		1	prepped	AK10	14,31	16	2	TruSeq LT Index 15	204	4								NA	NA	NA
16	1753	AC/753/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	adult	29.10.2012	Muscle		NA	PK_2_M	7,4	100	02.02.2016		1	prepped	AK10	12,53	13	1	TruSeq LT Index 16	204	1								NA	NA	NA
17	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Heart		NA	PK_3_H	13,8	100	02.02.2016		1	prepped	AK15	10,54	16	8	TruSeq LT Index 12	219	8	PK_3_H__r1							NA	NA	NA
18	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Liver		NA	PK_3_L	110,0	100	02.02.2016		1	prepped	AK10	14,80	16	2	TruSeq LT Index 19	204	4								NA	NA	NA
19	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Kidney		NA	PK_3_K	62,0	100	02.02.2016		1	prepped	AK10	12,93	13	1	TruSeq LT Index 20	204	1								NA	NA	NA
20	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Spleen		NA	PK_3_S	160,0	200	02.02.2016		1	prepped	AK10	13,64	16	2	TruSeq LT Index 21	204	4								NA	NA	NA
21	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Duodenum		NA	PK_3_D	6,4	100	02.02.2016		1	prepped	AK10	14,60	16	2	TruSeq LT Index 22	204	4								NA	NA	NA
22	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Lung		NA	PK_3_LU	20,6	100	02.02.2016		1	prepped	AK10	10,55	13	1	TruSeq LT Index 23	204	1								NA	NA	NA
23	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Lymphnode		NA	PK_3_LN	56,0	200	02.02.2016		1	prepped	AK10	11,97	13	1	TruSeq LT Index 25	204	1		AK_uc_newprep	12,165	TruSeq LT Index 14	PK_3_LN_uc		AK_uc_32	10	391	6
24	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Brain		NA	PK_3_B	12,8	100	02.02.2016		1	prepped	AK10	11,17	13	1	TruSeq LT Index 27	204	1								NA	NA	NA
25	1754	AC/754/12	Parma kangaroo/wallaby	Parmakaenguru	Macropus parma	f	NA	29.10.2012	Muscle		NA	PK_3_M	76,4	100	02.02.2016		1	prepped	AK10	11,35	13	1	TruSeq LT Index 1	204	1								NA	NA	NA
26	876	AC/276/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Heart		NA	YS_1_H	110,0	50	10.02.2016	redo	1	prepped	AK10	8,13	11	8	TruSeq LT Index 2	206	8								NA	NA	NA
27	876	AC/276/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Liver		NA	YS_1_L	10,7	100	03.02.2016		1	prepped	AK10	6,65	11	8	TruSeq LT Index 3	206	8								NA	NA	NA
28	876	AC/276/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Kidney		NA	YS_1_K	4,2	50	10.02.2016	redo	1	prepped	AK10	1,97	7	8	TruSeq LT Index 4	206	8								NA	NA	NA
29	876	AC/276/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Spleen		NA	YS_1_S	110,0	50	10.02.2016	redo	1	prepped	AK10	11,09	15	3	TruSeq LT Index 5	204	5								NA	NA	NA
30	876	AC/276/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Duodenum		NA	YS_1_D	5,9	50	10.02.2016	redo	1	prepped	AK10	6,12	11	8	TruSeq LT Index 6	206	8								NA	NA	NA
31	876	AC/276/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Lung		NA	YS_1_LU	7,4	50	10.02.2016	redo	1	prepped	AK10	5,80	11	8	TruSeq LT Index 7	206	8								NA	NA	NA
32	876	AC/276/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Muscle		NA	YS_1_M	0,3	50	10.02.2016	redo	1	failed DNA						failed	failed								NA	NA	NA
33	877	AC/277/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Heart		NA	YS_2_H	19,0	100	03.02.2016		2	prepped	AK10	10,11	15	3	TruSeq LT Index 9	204	5								NA	NA	NA
34	877	AC/277/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Liver		NA	YS_2_L	24,6	100	03.02.2016		2	prepped	AK15	9,48	14	7	TruSeq LT Index 13	219	7	YS_2_L__r1	AK_uc_newprep	11,45	TruSeq LT Index 6	YS_2_L_uc		AK_uc_31	10	391	5
35	877	AC/277/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Kidney		NA	YS_2_K	43,6	100	03.02.2016		2	prepped	Ak15	9,54	16	8	TruSeq LT Index 14	219	8	YS_2_K__r1							NA	NA	NA
36	877	AC/277/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Spleen		NA	YS_2_S	12,6	100	03.02.2016		2	prepped	AK10	11,34	15	3	TruSeq LT Index 12	204	5								NA	NA	NA
37	877	AC/277/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Duodenum		NA	YS_2_D	25,0	100	03.02.2016		2	prepped	AK10	10,21	15	3	TruSeq LT Index 13	204	5								NA	NA	NA
38	877	AC/277/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Lung		NA	YS_2_LU	85,0	50	10.02.2016	redo	2	prepped	AK10	10,19	15	3	TruSeq LT Index 14	204	5								NA	NA	NA
39	877	AC/277/11	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	adult	11.04.2011	Muscle		NA	YS_2_M	95,6	50	10.02.2016	redo	2	prepped	AK10	12,05	15	3	TruSeq LT Index 15	204	5								NA	NA	NA
40	2936	AC/320/14	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	NA	22.04.2014	Heart		NA	YS_3_H	6,6	100	03.02.2016		2	prepped	AK10	11,86	15	3	TruSeq LT Index 16	204	5								NA	NA	NA
41	2936	AC/320/14	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	NA	22.04.2014	Liver		NA	YS_3_L	36,6	50	10.02.2016	redo	2	prepped	AK15	14,56	16	8	TruSeq LT Index 15	219	8	YS_3_L__r1							NA	NA	NA
42	2936	AC/320/14	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	NA	22.04.2014	Kidney		NA	YS_3_K	12,3	50	10.02.2016	redo	2	prepped	AK10	11,53	15	3	TruSeq LT Index 19	204	5								NA	NA	NA
43	2936	AC/320/14	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	NA	22.04.2014	Spleen		NA	YS_3_S	47,2	100	03.02.2016		2	prepped	AK10	10,78	15	3	TruSeq LT Index 20	204	5								NA	NA	NA
44	2936	AC/320/14	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	NA	22.04.2014	Duodenum		NA	YS_3_D	8,1	100	03.02.2016		2	prepped	AK10	11,06	15	3	TruSeq LT Index 21	204	5								NA	NA	NA
45	2936	AC/320/14	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	NA	22.04.2014	Lung		NA	YS_3_LU	29,8	100	03.02.2016		2	prepped	AK10	13,68	15	3	TruSeq LT Index 22	204	5								NA	NA	NA
46	2936	AC/320/14	Yellow-bellied slider	Gelbwangenschmuckschildkroete	Trachemys scripta scripta	f	NA	22.04.2014	Muscle		NA	YS_3_M	25,6	50	10.02.2016	redo	2	prepped	AK10	8,97	15	3	TruSeq LT Index 23	204	5								NA	NA	NA
47	2764	Z/63/14	Stone marten	Steinmarder	Martes foina	f	1 j	21.01.2014	Heart		NA	SM_1_H	10,7	100	04.02.2016		2	prepped	AK10	7,52	12	4	TruSeq LT Index 25	204	6								NA	NA	NA
48	2764	Z/63/14	Stone marten	Steinmarder	Martes foina	f	1 j	21.01.2014	Liver		NA	SM_1_L	112,0	50	10.02.2016	redo	2	prepped	AK10	9,23	12	4	TruSeq LT Index 27	204	6		AK_uc_newprep	10,26	TruSeq LT Index 3	SM_1_L_uc		AK_uc_30	8	391	4
49	2764	Z/63/14	Stone marten	Steinmarder	Martes foina	f	1 j	21.01.2014	Spleen		NA	SM_1_S	360,0	300	04.02.2016		2	prepped	AK10	9,84	12	4	TruSeq LT Index 1	204	6								NA	NA	NA
50	2764	Z/63/14	Stone marten	Steinmarder	Martes foina	f	1 j	21.01.2014	Lymphnode		NA	SM_1_LN	160,0	300	04.02.2016		2	prepped	AK10	9,07	12	4	TruSeq LT Index 2	204	6								NA	NA	NA
51	2764	Z/63/14	Stone marten	Steinmarder	Martes foina	f	1 j	21.01.2014	Brain		NA	SM_1_B	48,2	100	04.02.2016		2	prepped	AK10	8,43	12	4	TruSeq LT Index 3	204	6								NA	NA	NA
52	2768	Z/67/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Heart		NA	SM_2_H	13,3	100	04.02.2016		2	prepped	AK10	7,58	12	4	TruSeq LT Index 4	204	6								NA	NA	NA
53	2768	Z/67/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Liver		NA	SM_2_L	98,4	100	04.02.2016		2	prepped	AK15	12,22	14	2	TruseQ LT Index 16	219	3	SM_2_L__r1							NA	NA	NA
54	2768	Z/67/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Spleen		NA	SM_2_S	184,0	300	04.02.2016		2	prepped	AK10	10,27	12	4	TruSeq LT Index 6	204	6								NA	NA	NA
55	2768	Z/67/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Lymphnode		NA	SM_2_LN	232,0	300	04.02.2016		2	prepped	AK10	9,18	12	4	TruSeq LT Index 7	204	6								NA	NA	NA
56	2768	Z/67/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Brain		NA	SM_2_B	174,0	100	04.02.2016		2	prepped	AK10	9,72	12	4	TruSeq LT Index 8	204	6								NA	NA	NA
57	2769	Z/68/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Heart		NA	SM_3_H	10,4	100	04.02.2016		2	prepped	AK10	11,35	12	4	TruSeq LT Index 9	204	6								NA	NA	NA
58	2769	Z/68/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Liver		NA	SM_3_L	20,8	100	04.02.2016		2	prepped	AK15	12,35	14	2	TruSeq LT Index 18	219	3	SM_3_L__r1							NA	NA	NA
59	2769	Z/68/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Spleen		NA	SM_3_S	244,0	300	04.02.2016		2	prepped	Ak15	10,84	13	3	TruSeq LT Index 19	219	4	SM_3_S__r1							NA	NA	NA
60	2769	Z/68/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Lymphnode		NA	SM_3_LN	244,0	300	04.02.2016		2	prepped	AK10	10,55	12	4	TruSeq LT Index 12	204	6								NA	NA	NA
61	2769	Z/68/14	Stone marten	Steinmarder	Martes foina	f	adult	21.01.2014	Brain		NA	SM_3_B	63,2	100	04.02.2016		2	prepped	AK10	8,53	12	4	TruSeq LT Index 13	204	6								NA	NA	NA
62	1925	Z/9/13	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	02.01.2013	Heart		NA	CT_1_H	7,7	100	04.02.2016		2	prepped	AK10	8,16	14	7	TruSeq LT Index 14	206	1								NA	NA	NA
63	1925	Z/9/13	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	02.01.2013	Liver		NA	CT_1_L	228,0	100	04.02.2016		2	prepped	AK10	11,13	14	7	TruSeq LT Index 15	206	1		AK_uc_newprep	9,395	TruSeq LT Index 18	CT_1_L_uc		AK_uc_33	7	391	7
64	1925	Z/9/13	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	02.01.2013	Muscle		NA	CT_1_M	6,2	100	04.02.2016		2	prepped	AK10	8,17	14	7	TruSeq LT Index 16	206	1								NA	NA	NA
65	1926	Z/2/13	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	02.01.2013	Heart		NA	CT_2_H	25,4	100	04.02.2016		2	prepped	AK10	11,70	14	7	TruSeq LT Index 18	206	1								NA	NA	NA
66	1926	Z/2/13	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	02.01.2013	Liver		NA	CT_2_L	140,0	100	04.02.2016		2	prepped	AK15	10,92	13	3	TruSeq LT Index 20	219	4	CT_2_L__r1							NA	NA	NA
67	1926	Z/2/13	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	02.01.2013	Muscle		NA	CT_2_M	25,2	100	04.02.2016		2	prepped	AK10	8,63	14	7	TruSeq LT Index 20	206	1								NA	NA	NA
68	2775	Z/75/14	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	29.01.2014	Heart		NA	CT_3_H	37,4	100	04.02.2016		2	prepped	AK10	10,24	14	7	TruSeq LT Index 21	206	1								NA	NA	NA
69	2775	Z/75/14	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	29.01.2014	Liver		NA	CT_3_L	224,0	100	04.02.2016		2	prepped	AK10	10,27	14	7	TruSeq LT Index 22	206	1								NA	NA	NA
70	2775	Z/75/14	Colorado River toad	Coloradokroete	Incilius alvarius	f	adult	29.01.2014	Muscle		NA	CT_3_M	21,9	100	04.02.2016		2	prepped	AK10	9,22	14	7	TruSeq LT Index 23	206	1								NA	NA	NA
71	108	Z/20/10	Buzzard	Bussard	Buteo	f	adult	27.01.2010	Heart		NA	BU_1_H	43,8	100	05.02.2016		2	prepped	AK10	7,97	11	5	TruSeq LT Index 25	204	7								NA	NA	NA
72	108	Z/20/10	Buzzard	Bussard	Buteo	f	adult	27.01.2010	Liver		NA	BU_1_L	148,0	50	08.02.2016	redo	2	prepped	AK10	9,88	11	5	TruSeq LT Index 27	204	7								NA	NA	NA
73	108	Z/20/10	Buzzard	Bussard	Buteo	f	adult	27.01.2010	Spleen		NA	BU_1_S	148,0	300	05.02.2016		2	prepped	AK10	8,40	11	5	TruSeq LT Index 1	204	7								NA	NA	NA
74	108	Z/20/10	Buzzard	Bussard	Buteo	f	adult	27.01.2010	Brain		NA	BU_1_B	53,2	100	05.02.2016		2	prepped	AK10	8,54	11	5	TruSeq LT Index 2	204	7		AK_uc_newprep	9,46	TruSeq LT Index 13	BU_1_B_uc		AK_uc_28	8	391	2
75	163	CB/85/10	Buzzard	Bussard	Buteo	f	adult	03.03.2010	Heart		NA	BU_2_H	36,4	100	05.02.2016		2	prepped	AK10	7,96	11	5	TruSeq LT Index 3	204	7								NA	NA	NA
76	163	CB/85/10	Buzzard	Bussard	Buteo	f	adult	03.03.2010	Liver		NA	BU_2_L	33,0	50	08.02.2016	redo	2	prepped	AK10	6,22	11	5	TruSeq LT Index 4	204	7								NA	NA	NA
77	163	CB/85/10	Buzzard	Bussard	Buteo	f	adult	03.03.2010	Spleen		NA	BU_2_S	5,8	300	05.02.2016		2	prepped	AK10	10,75	11	5	TruSeq LT Index 5	204	7								NA	NA	NA
78	163	CB/85/10	Buzzard	Bussard	Buteo	f	adult	03.03.2010	Brain		NA	BU_2_B	150,0	50	08.02.2016	redo	2	prepped	AK10	9,00	11	5	TruSeq LT Index 6	204	7								NA	NA	NA
79	2023	AC/123/13	Buzzard	Bussard	Buteo	f	adult	26.02.2013	Heart		NA	BU_3_H	40,4	100	05.02.2016		2	prepped	AK10	8,29	11	5	TruSeq LT Index 7	204	7								NA	NA	NA
80	2023	AC/123/13	Buzzard	Bussard	Buteo	f	adult	26.02.2013	Liver		NA	BU_3_L	22,0	200	05.02.2016		2	prepped	AK10	9,00	11	5	TruSeq LT Index 8	204	7								NA	NA	NA
81	2023	AC/123/13	Buzzard	Bussard	Buteo	f	adult	26.02.2013	Spleen		NA	BU_3_S	94,0	300	05.02.2016		2	prepped	AK10	9,81	11	5	TruSeq LT Index 9	204	7								NA	NA	NA
82	1561	Z/394/12	Leaf bird	Orangebauch Blattvogel	Chloropsis	f	adult	16.07.2012	Heart		NA	LB_1_H	41,4	100	05.02.2016		2	prepped	AK15	8,96	14	7	TruSeq LT Index 21	219	7	LB_1_H__r1							NA	NA	NA
83	1561	Z/394/12	Leaf bird	Orangebauch Blattvogel	Chloropsis	f	adult	16.07.2012	Liver		NA	LB_1_L	142,0	50	08.02.2016	redo	2	prepped	Ak15	12,29	14	2	TruSeq LT Index 22	219	3	LB_1_L__r1							NA	NA	NA
84	1561	Z/394/12	Leaf bird	Orangebauch Blattvogel	Chloropsis	f	adult	16.07.2012	Brain		NA	LB_1_B	9,9	100	05.02.2016		2	prepped	AK10	10,03	13	6	TruSeq LT Index 12	204	8								NA	NA	NA
85	2778	CB/78/14	Leaf bird	Blaustirn Blattvogel	Chloropsis	f	adult	29.01.2014	Heart		NA	LB_2_H	45,4	100	05.02.2016		2	prepped	AK10	9,55	13	6	TruSeq LT Index 13	204	8								NA	NA	NA
86	2778	CB/78/14	Leaf bird	Blaustirn Blattvogel	Chloropsis	f	adult	29.01.2014	Liver		NA	LB_2_L	114,0	50	08.02.2016	redo	2	prepped	AK10	11,31	13	6	TruSeq LT Index 14	204	8								NA	NA	NA
87	2778	CB/78/14	Leaf bird	Blaustirn Blattvogel	Chloropsis	f	adult	29.01.2014	Spleen		NA	LB_2_S	216,0	100	05.02.2016		2	prepped	AK10	11,28	13	6	TruSeq LT Index 15	204	8		AK_uc_newprep	9,785	TruSeq LT Index 18	LB_2_S_uc		AK_uc_32	9	391	6
88	2778	CB/78/14	Leaf bird	Blaustirn Blattvogel	Chloropsis	f	adult	29.01.2014	Brain		NA	LB_2_B	30,2	100	05.02.2016		2	prepped	AK10	9,91	13	6	TruSeq LT Index 16	204	8								NA	NA	NA
89	3620	AC/211/15	Leaf bird	Orangebauch Blattvogel	Chloropsis	f	adult	31.03.2015	Heart		NA	LB_3_H	48,4	100	05.02.2016		2	prepped	AK10	11,19	13	6	TruSeq LT Index 18	204	8								NA	NA	NA
90	3620	AC/211/15	Leaf bird	Blattvogel	Chloropsis	f	adult	31.03.2015	Liver		NA	LB_3_L	130,0	50	08.02.2016	redo	2	prepped	AK10	10,97	13	6	TruSeq LT Index 19	204	8								NA	NA	NA
91	3620	AC/211/15	Leaf bird	Blattvogel	Chloropsis	f	adult	31.03.2015	Spleen		NA	LB_3_S	184,0	200	05.02.2016		2	prepped	AK10	9,15	13	6	TruSeq LT Index 20	204	8								NA	NA	NA
92	2075	Z/183/13	Mouflon	Mufflon	Ovis orientalis	f	2 j	04.04.2013	Heart		NA	MU_1_H	7,5	100	06.02.2016		2	prepped	AK14	9,77	12	5	TruSeq LT Index 1	218	5								NA	NA	NA
93	2075	Z/183/13	Mouflon	Mufflon	Ovis orientalis	f	2 j	04.04.2013	Liver		NA	MU_1_L	68,0	100	06.02.2016		2	prepped	AK14	11,63	13	7	TruSeq LT Index 2	218	7								NA	NA	NA
94	2075	Z/183/13	Mouflon	Mufflon	Ovis orientalis	f	2 j	04.04.2013	Spleen		NA	MU_1_S	244,0	200	06.02.2016		2	prepped	AK14	14,22	18	7	TruSeq LT Index 3	218	7								NA	NA	NA
95	2075	Z/183/13	Mouflon	Mufflon	Ovis orientalis	f	2 j	04.04.2013	Lymphnode		NA	MU_1_LN	22,2	200	06.02.2016		2	prepped	AK14	9,15	12	5	TruSeq LT Index 4	218	5								NA	NA	NA
96	2075	Z/183/13	Mouflon	Mufflon	Ovis orientalis	f	2 j	04.04.2013	Brain		NA	MU_1_B	45,8	100	06.02.2016		2	prepped	AK14	11,43	12	5	TruSeq LT Index 5	218	5		AK_uc_newprep	9,9	TruSeq LT Index 21	MU_1_B_uc		AK_uc_32	9	391	6
97	3587	CB/165/15	Mouflon	Mufflon	Ovis orientalis	f	adult	03.03.2015	Heart		NA	MU_2_H	30,6	100	06.02.2016		2	prepped	AK14	10,41	12	5	TruSeq LT Index 6	218	5								NA	NA	NA
98	3587	CB/165/15	Mouflon	Mufflon	Ovis orientalis	f	adult	03.03.2015	Liver		NA	MU_2_L	7,9	100	06.02.2016		2	prepped	AK14	10,42	12	5	TruSeq LT Index 7	218	5								NA	NA	NA
99	3587	CB/165/15	Mouflon	Mufflon	Ovis orientalis	f	adult	03.03.2015	Spleen		NA	MU_2_S	126,0	200	06.02.2016		2	prepped	AK14	11,23	12	5	TruSeq LT Index 8	218	5								NA	NA	NA
100	3587	CB/165/15	Mouflon	Mufflon	Ovis orientalis	f	adult	03.03.2015	Lymphnode		NA	MU_2_LN	124,0	100	06.02.2016		2	prepped	AK14	12,62	18	7	TruSeq LT Index 9	218	7								NA	NA	NA
101	3587	CB/165/15	Mouflon	Mufflon	Ovis orientalis	f	adult	03.03.2015	Brain		NA	MU_2_B	70,0	100	06.02.2016		2	prepped	AK14	8,77	12	5	TruSeq LT Index 10	218	5								NA	NA	NA
102	4043	CB/844/15	Mouflon	Mufflon	Ovis orientalis	f	adult	13.10.2015	Heart		NA	MU_3_H	21,0	100	06.02.2016		2	prepped	AK14	8,99	12	5	TruSeq LT Index 11	218	5								NA	NA	NA
103	4043	CB/844/15	Mouflon	Mufflon	Ovis orientalis	f	adult	13.10.2015	Liver		NA	MU_3_L	27,4	100	06.02.2016		2	prepped	AK14	11,76	13	7	TruSeq LT Index 12	218	7								NA	NA	NA
104	4043	CB/844/15	Mouflon	Mufflon	Ovis orientalis	f	adult	13.10.2015	Spleen		NA	MU_3_S	26,0	200	06.02.2016		2	prepped	AK14	11,39	12	5	TruSeq LT Index 13	218	5								NA	NA	NA
105	4043	CB/844/15	Mouflon	Mufflon	Ovis orientalis	f	adult	13.10.2015	Lymphnode		NA	MU_3_LN	102,0	200	06.02.2016		2	prepped	AK14	10,32	13	7	TruSeq LT Index 14	218	7								NA	NA	NA
106	4043	CB/844/15	Mouflon	Mufflon	Ovis orientalis	f	adult	13.10.2015	Brain		NA	MU_3_B	28,4	50	08.02.2016	redo	2	prepped	AK14	11,83	18	7	TruSeq LT Index 15	218	7								NA	NA	NA
107	740	AC/761/10	Dice snake	Wuerfelnatter	Natrix tessellata	f	adult	28.12.2010	Heart		NA	DS_1_H	91,0	100	06.02.2016		2	prepped	AK14	10,60	12	2	TruSeq LT Index 16	218	2		AK_uc_newprep	9,535	TruSeq LT Index 22	DS_1_H_uc		AK_uc_33	7	391	7
